"var","lev","num","perc","mean","sd"
"INCHES_4CAT","Light Snowfall",50,8.80281690140845,NA,NA
"INCHES_4CAT","Moderate Snowfall",212,37.3239436619718,NA,NA
"INCHES_4CAT","Heavy Snowfall",212,37.3239436619718,NA,NA
"INCHES_4CAT","Extreme Snowfall",94,16.5492957746479,NA,NA
"AverageIndex",NA,NA,NA,0.236502226213831,0.158769216819039
"AGE_4CAT","18-34",164,28.8732394366197,NA,NA
"AGE_4CAT","35-49",158,27.8169014084507,NA,NA
"AGE_4CAT","50-64",112,19.7183098591549,NA,NA
"AGE_4CAT","65+",134,23.5915492957746,NA,NA
"GENDER_2CAT","Female",340,60.2836879432624,NA,NA
"GENDER_2CAT","Male",224,39.7163120567376,NA,NA
"RACE_2CAT","White",473,83.2746478873239,NA,NA
"RACE_2CAT","Non-White",95,16.7253521126761,NA,NA
"STUD","No",504,88.7323943661972,NA,NA
"STUD","Yes",64,11.2676056338028,NA,NA
"EDUC_3CAT","HSBelow",239,42.5266903914591,NA,NA
"EDUC_3CAT","Bachelor",243,43.2384341637011,NA,NA
"EDUC_3CAT","Higher",80,14.2348754448399,NA,NA
"WORK","Yes",328,57.7464788732394,NA,NA
"WORK","No",240,42.2535211267606,NA,NA
"HHINC_6CAT","0-25",98,18.0478821362799,NA,NA
"HHINC_6CAT","25-50",118,21.731123388582,NA,NA
"HHINC_6CAT","50-75",113,20.8103130755064,NA,NA
"HHINC_6CAT","75-100",81,14.9171270718232,NA,NA
"HHINC_6CAT","100-150",78,14.3646408839779,NA,NA
"HHINC_6CAT","150+",55,10.1289134438306,NA,NA
"ZONE","A",56,9.85915492957746,NA,NA
"ZONE","B",142,25,NA,NA
"ZONE","C",169,29.7535211267606,NA,NA
"ZONE","D",125,22.0070422535211,NA,NA
"ZONE","E",23,4.04929577464789,NA,NA
"ZONE","F",53,9.33098591549296,NA,NA
"HOME1_2CAT","SFdet",384,68.0851063829787,NA,NA
"HOME1_2CAT","Other",180,31.9148936170213,NA,NA
"HOME2","Owned or mortgaged",378,66.5492957746479,NA,NA
"HOME2","Rented",190,33.4507042253521,NA,NA
"ADULTS_NUM",NA,NA,NA,2.28169014084507,1.07965764501964
"CHILDREN_NUM",NA,NA,NA,0.707746478873239,1.14356254778348
"BIKES_NUM",NA,NA,NA,1.26760563380282,1.44708180695412
"CARS_NUM",NA,NA,NA,2.05457746478873,1.15264292467428
