"SITE","EventStartSampleTime","EventEndSampleTime","AverageIndex","StormEventIndex","StormEventDurationHours","exceptional","acceptable","unacceptable","LATITUDE","LONGITUDE","COUNTY"
"I-15 @ 2400 S",2024-02-09 07:10:00,2024-02-09 15:00:00,0.13,1.03,7.83,16.67,83.33,0,40.717,-111.904,"Salt Lake"
"I-15 @ 500 S",2024-02-09 06:50:00,2024-02-09 14:40:00,0.11,0.84,7.83,20.83,79.17,0,40.758,-111.912,"Salt Lake"
"I-15 @ 6200 S",2024-02-09 07:30:00,2024-02-09 12:20:00,0.23,1.09,4.83,40,56.67,3.33,40.637,-111.905,"Salt Lake"
"I-15 @ ALPINE PT OF MTN",2024-02-09 11:10:00,2024-02-09 14:30:00,0.24,0.79,3.33,47.62,52.38,0,40.45,-111.912,"Utah"
"I-15 @ BEAVER",2024-02-08 22:10:00,2024-02-09 03:10:00,0.3,1.51,5,16.67,56.67,26.67,38.293,-112.651,"Beaver"
"I-15 @ BEAVER RIDGE",NA,NA,0,0,0,100,0,0,38.15,-112.61,"Beaver"
"I-15 @ BEER CREEK",2024-02-09 12:50:00,2024-02-09 19:00:00,0.4,2.46,6.17,7.89,65.79,26.32,40.073,-111.715,"Utah"
"I-15 @ BLACK RIDGE",NA,NA,0,0,0,100,0,0,37.482,-113.22,"Iron/Washington"
"I-15 @ BLUFFDALE",2024-02-09 03:10:00,2024-02-09 14:30:00,0.2,2.26,11.33,28.99,69.57,1.45,40.475,-111.905,"Salt Lake"
"I-15 @ CENTERVILLE",NA,NA,0,0,0,100,0,0,40.95,-111.892,"Davis"
"I-15 @ DOG VALLEY",NA,NA,0,0,0,100,0,0,38.636,-112.61,"Millard"
"I-15 @ MP 140 BAKER CANYON",NA,NA,0,0,0,100,0,0,38.682,-112.597,"Millard"
"I-15 @ MP 169",2024-02-08 21:10:00,2024-02-09 21:40:00,0.2,4.86,24.5,23.65,73.65,2.7,39.02,-112.305,"Millard"
"I-15 @ MP 215 LAMPSON CANYON",2024-02-09 12:20:00,2024-02-09 22:40:00,0.22,2.24,10.33,22.22,63.49,14.29,39.5944,-111.9161,"Juab"
"I-15 @ MP 241 ROCKY RIDGE",2024-02-09 13:00:00,2024-02-09 21:50:00,0.37,3.27,8.83,3.7,55.56,40.74,39.9371,-111.8112,"Juab"
"I-15 @ MP 29 BROWSE",NA,NA,0,0,0,100,0,0,37.3087,-113.297,"Washington"
"I-15 @ MP 333 ANTELOPE DRIVE",NA,NA,0,0,0,100,0,0,41.09,-111.9906,"Davis"
"I-15 @ MP 350 FARR WEST",2024-02-09 02:00:00,2024-02-09 20:00:00,0.05,0.83,18,0.92,94.5,4.59,41.3204,-112.0267,"Box Elder"
"I-15 @ MP 369 NORTH BRIGHAM CITY",NA,NA,0,0,0,100,0,0,41.58227,-112.07223,"Box Elder"
"I-15 @ MP 37 ASH CREEK",2024-02-08 00:10:00,2024-02-08 19:50:00,0.55,10.82,19.67,NA,NA,NA,37.4116,-113.2348,"Washington"
"I-15 @ MP 398 PORTAGE",2024-02-08 23:40:00,2024-02-09 11:10:00,0.16,1.78,11.5,35.71,64.29,0,41.9675,-112.1808,"Box Elder"
"I-15 @ MP 57 CEDAR CITY",2024-02-08 16:40:00,2024-02-09 03:10:00,0.18,1.94,10.5,5.45,90.91,3.64,37.655,-113.0829,"Iron"
"I-15 @ OREM",NA,NA,0,0,0,100,0,0,40.319,-111.726,"Utah"
"I-15 @ PARAGONAH",2024-02-08 15:20:00,2024-02-09 03:50:00,0.38,4.79,12.5,26.32,69.74,3.95,37.929,-112.766,"Iron"
"I-15 @ PINE CREEK HILL",NA,NA,0,0,0,100,0,0,38.481,-112.617,"Beaver"
"I-15 @ PLYMOUTH",2024-02-08 07:20:00,2024-02-09 11:30:00,0.307249451353328,4.2001,13.67,30.9213606437454,69.0786393562546,0,41.886,-112.169,"Box Elder"
"I-15 @ PROVO",2024-02-09 13:50:00,2024-02-09 18:40:00,0.19,0.92,4.83,33.33,66.67,0,40.204,-111.656,"Utah"
"I-15 @ SCIPIO SUMMIT",NA,NA,0,0,0,100,0,0,39.203,-112.173,"Millard"
"I-15 @ SEVIER RIVER",NA,NA,0,0,0,100,0,0,39.41,-112.052,"Juab"
"I-15 @ TREMONTON",NA,NA,0,0,0,100,0,0,41.69,-112.163,"Box Elder"
"I-15 @ WILDCAT RIDGE",NA,NA,0,0,0,100,0,0,38.421,-112.649,"Beaver"
"I-15 @ WILLARD POE",2024-02-09 02:00:00,2024-02-09 19:00:00,0.09,1.57,17,7.77,91.26,0.97,41.44,-112.056,"Box Elder"
"I-215 @ I-80",NA,NA,0,0,0,100,0,0,40.766,-111.95,"Salt Lake"
"I-215 @ MP 13.5 REDWOOD RD",NA,NA,0,0,0,100,0,0,40.64439,-111.93843,"Salt Lake"
"I-215 @ MP 16 TAYLORSVILLE",NA,NA,0,0,0,100,0,0,40.6768,-111.9528,"Salt Lake"
"I-215 @ OLYMPUS COVE",2024-02-09 02:50:00,2024-02-09 15:40:00,0.51,6.51,12.83,30.77,66.67,2.56,40.683,-111.797,"Salt Lake"
"I-70 @ FISH CREEK",NA,NA,0,0,0,100,0,0,38.564,-112.434,"Sevier"
"I-70 @ FREMONT JCT",NA,NA,0,0,0,100,0,0,38.779,-111.317,"Sevier"
"I-70 @ HARLEY DOME",2024-02-09 01:40:00,2024-02-09 08:30:00,0.33,2.27,6.83,47.62,30.95,21.43,39.1664,-109.1359,"Grand"
"I-70 @ I-15",NA,NA,0,0,0,100,0,0,38.577,-112.604,"Millard"
"I-70 @ MP 82 SALINA SUMMIT",2024-02-08 10:40:00,2024-02-09 17:40:00,0.25,7.84,31,37.84,60.54,1.62,38.78319,-111.49338,"Sevier"
"I-70 @ RATTLESNAKE BENCH",NA,NA,0,0,0,100,0,0,38.904,-110.562,"Emery"
"I-70 @ RICHFIELD",NA,NA,0,0,0,100,0,0,38.773,-112.099,"Sevier"
"I-70 @ SALINA CANYON",2024-02-08 14:10:00,2024-02-09 18:10:00,0.09,2.57,28,14.79,81.66,3.55,38.9057,-111.6399,"Sevier"
"I-70 @ SR-24",2024-02-08 18:30:00,2024-02-09 08:00:00,0.15,1.96,13.5,20.73,67.07,12.2,38.876,-111.959,"Sevier"
"I-80 @ COALVILLE",NA,NA,0,0,0,100,0,0,40.918,-111.407,"Summit"
"I-80 @ GRASSY",NA,NA,0,0,0,100,0,0,40.762,-113.01,"Tooele"
"I-80 @ KIMBALL JCT",NA,NA,0,0,0,100,0,0,40.728,-111.543,"Summit"
"I-80 @ LAKEPOINT",NA,NA,0,0,0,100,0,0,40.693,-112.264,"Tooele"
"I-80 @ MOUTH OF PARLEYS",2024-02-09 07:40:00,2024-02-09 15:30:00,0.28,2.19,7.83,25,75,0,40.712,-111.802,"Salt Lake"
"I-80 @ MP 1",NA,NA,0,0,0,100,0,0,40.745,-114.022,"Tooele"
"I-80 @ MP 107",2024-02-09 06:10:00,2024-02-09 09:30:00,0.24,0.82,3.33,19.05,80.95,0,40.7701,-112.1508,"Salt Lake"
"I-80 @ MP 125 SUGAR HOUSE",2024-02-09 07:20:00,2024-02-09 15:10:00,0.26,2.04,7.83,25,72.92,2.08,40.72,-111.8526,"Salt Lake"
"I-80 @ MP 132 MT. AIRE",2024-02-09 07:35:00,2024-02-09 15:30:00,0.54,4.28,7.92,15.63,73.96,10.42,40.74214,-111.7398,"Salt Lake"
"I-80 @ MP 134 EAST CANYON",2024-02-09 03:00:00,2024-02-09 15:55:00,0.36,4.71,12.92,21.79,71.15,7.05,40.7509,-111.7138,"Salt Lake"
"I-80 @ MP 136 LAMBS CANYON",2024-02-09 03:05:00,2024-02-09 16:05:00,0.41,5.3,13,20.38,71.97,7.64,40.7397,-111.673,"Salt Lake"
"I-80 @ MP 142 JEREMY RANCH",2024-02-08 13:55:00,2024-02-09 16:15:00,0.26,6.87,26.33,17.32,77.78,4.9,40.75317,-111.5718,"Summit"
"I-80 @ MP 151 TOLLGATE CANYON",NA,NA,0,0,0,100,0,0,40.7749,-111.4678,"Summit"
"I-80 @ MP 172 ECHO CANYON",NA,NA,0,0,0,100,0,0,41.01025,-111.37445,"Summit"
"I-80 @ PARLEYS CANYON QUARRY",2024-02-09 03:00:00,2024-02-09 15:45:00,0.35,4.4,12.75,20.13,77.27,2.6,40.7281,-111.7656,"Salt Lake"
"I-80 @ PARLEYS SUMMIT",2024-02-08 17:45:00,2024-02-09 16:00:00,0.98,21.86,22.25,28.36,66.04,5.6,40.753,-111.625,"Salt Lake"
"I-80 @ WAHSATCH HILL",2024-02-08 05:50:00,2024-02-09 07:20:00,0.16,4.07,25.5,6.49,91.56,1.95,41.195,-111.114,"Summit"
"I-80 @ WANSHIP",2024-02-08 17:00:00,2024-02-09 15:50:00,0.25,5.71,22.83,41.61,55.47,2.92,40.813,-111.401,"Summit"
"I-84 @ CHAULK HILL",2024-02-08 22:50:00,2024-02-09 10:00:00,0.29,3.19,11.17,16.18,52.94,30.88,41.911,-112.605,"Box Elder"
"I-84 @ DEVILS SLIDE",NA,NA,0,0,0,100,0,0,41.057,-111.532,"Morgan"
"I-84 @ MP 108 TAGGARTS",2024-02-08 06:30:00,2024-02-09 09:00:00,0.14,3.79,26.5,8.18,76.73,15.09,41.05305,-111.5987,"Morgan"
"I-84 @ MP 91 DEVILS GATE",2024-02-08 05:40:00,2024-02-08 11:30:00,0.23,1.34,5.83,33.33,44.44,22.22,41.1397,-111.8539,"Morgan"
"I-84 @ WEBER CANYON",2024-02-08 05:20:00,2024-02-08 11:10:00,0.28,1.63,5.83,27.78,61.11,11.11,41.138,-111.887,"Weber"
"I-84 @ WHITES VALLEY",2024-02-09,2024-02-09 11:40:00,0.22,2.59,11.67,18.31,46.48,35.21,41.81,-112.339,"Box Elder"
"NORTH OGDEN DIVIDE",NA,NA,0,0,0,100,0,0,41.3205,-111.8993,"Weber"
"PIONEER CROSSING",NA,NA,0,0,0,100,0,0,40.373,-111.916,"Utah"
"RIVERDALE RD",2024-02-09 02:20:00,2024-02-09 06:00:00,0.14,0.5,3.67,0,60.87,39.13,41.175,-112.009,"Weber"
"SR-10 @ MP 54 POISON SPRING BENCH",NA,NA,0,0,0,100,0,0,39.4016,-110.8902,"Emery"
"SR-111 @ BACCHUS",2024-02-08 06:10:00,2024-02-09 10:20:00,0.19,5.26,28.17,12.43,79.29,8.28,40.635,-112.056,"Salt Lake"
"SR-112 @ MP 6 UTAH AVENUE",2024-02-08 05:10:00,2024-02-09 11:10:00,0.261723076923077,1.7012,6.5,29.2670307692308,68.2943846153846,2.43858461538462,40.54827,-112.34157,"Tooele"
"SR-12 @ BOULDER SUMMIT",NA,NA,0,0,0,100,0,0,38.043,-111.327,"Garfield"
"SR-130 @ MP 32 MINERSVILLE PASS",NA,NA,0,0,0,100,0,0,38.0737,-112.9598,"Iron"
"SR-131 @ MP 0.5 PORTER ROCKWELL BRIDGE",2024-02-09 10:50:00,2024-02-09 14:30:00,0.37,1.36,3.67,47.83,47.83,4.35,40.46363,-111.9345,"Salt Lake"
"SR-14 SUMMIT",NA,NA,0,0,0,100,0,0,37.568,-112.85,"Iron"
"SR-153 NEAR PUFFER LAKE",NA,NA,0,0,0,100,0,0,38.321,-112.373,"Beaver"
"SR-154 @ MP 21 2100 S",NA,NA,0,0,0,100,0,0,40.72275,-111.9866,"Salt Lake"
"SR-154 @ MP 7 RIVERTON",2024-02-09 02:50:00,2024-02-09 11:50:00,0.1,0.89,9,16.36,69.09,14.55,40.5215,-111.98343,"Salt Lake"
"SR-158 @ POWDER MOUNTAIN",NA,NA,0,0,0,100,0,0,41.37884,-111.7841,"Weber"
