"ZIP5","AverageIndex","StormEventIndex","StormEventDurationHours","exceptional","acceptable","unacceptable"
"84003",0,0,0,100,0,0
"84005",0,0,0,100,0,0
"84006",0.21,3.045,15.92,25.78,70.08,4.14
"84009",0.165,0.86,6.335,27.745,64.98,7.275
"84014",0,0,0,100,0,0
"84015",0.0466666666666667,0.166666666666667,1.22333333333333,66.6666666666667,20.29,13.0433333333333
"84017",0.0833333333333333,1.90333333333333,7.61,80.5366666666667,18.49,0.973333333333333
"84018",0,0,0,100,0,0
"84020",0.27,1.47,6.11,41.48,56.5933333333333,1.93333333333333
"84021",0.015,0.28,4.3325,75,20.9525,4.0475
"84022",0.105,0.355,1.665,69.05,30.95,0
"84023",0,0,0,100,0,0
"84024",0.0533333333333333,1.35666666666667,8.5,68.83,30.52,0.65
"84025",0,0,0,100,0,0
"84027",0,0,0,100,0,0
"84028",0.53,8.47,15.83,25,59.38,15.63
"84029",0.0943446153846154,0.59624,2.5,75.5834061538462,23.9288769230769,0.487716923076923
"84032",0.0254523148148148,0.610855555555556,2.66666666666667,92.1003828703704,7.82398240740741,0.0756347222222222
"84033",0,0,0,100,0,0
"84035",0,0,0,100,0,0
"84036",0,0,0,100,0,0
"84037",0,0,0,100,0,0
"84038",0,0,0,100,0,0
"84040",0.255,1.485,5.83,30.555,52.775,16.665
"84041",0,0,0,100,0,0
"84042",0,0,0,100,0,0
"84043",0.2025,1.1025,4.5825,56.11,42.445,1.45
"84044",0.1825,1.885,9.0825,35.37,52.56,12.07
"84045",0,0,0,100,0,0
"84046",0,0,0,100,0,0
"84047",0.115,0.545,2.415,70,28.335,1.665
"84049",0.0572677083333333,1.374425,6,82.2258614583333,17.6039604166667,0.170178125
"84050",0.15,1.905,8.74875,52.0025,40.59625,7.4
"84052",0,0,0,100,0,0
"84055",0,0,0,100,0,0
"84056",0.07,0.25,1.835,50,30.435,19.565
"84057",0,0,0,100,0,0
"84058",0,0,0,100,0,0
"84059",0,0,0,100,0,0
"84060",0,0,0,100,0,0
"84061",0.125,2.855,11.415,70.805,27.735,1.46
"84062",0,0,0,100,0,0
