"SITE","EventStartSampleTime","EventEndSampleTime","AverageIndex","StormEventIndex","StormEventDurationHours","exceptional","acceptable","unacceptable","LATITUDE","LONGITUDE","COUNTY"
"I-15 @ 2400 S",2024-03-02 13:50:00,2024-03-03 09:20:00,0.16,3.12,19.5,7.63,70.34,22.03,40.717,-111.904,"Salt Lake"
"I-15 @ 500 S",2024-03-02 13:30:00,2024-03-03 09:10:00,0.2,3.91,19.67,8.47,77.97,13.56,40.758,-111.912,"Salt Lake"
"I-15 @ 6200 S",2024-03-02 14:00:00,2024-03-03 09:10:00,0.12,2.36,19.17,6.96,85.22,7.83,40.637,-111.905,"Salt Lake"
"I-15 @ ALPINE PT OF MTN",2024-03-02 14:10:00,2024-03-03 08:30:00,0.28,5.15,18.33,17.12,81.98,0.9,40.45,-111.912,"Utah"
"I-15 @ BEAVER",2024-03-02 20:20:00,2024-03-03 04:00:00,0.32,2.46,7.67,6.67,42.22,51.11,38.293,-112.651,"Beaver"
"I-15 @ BEAVER RIDGE",2024-03-02 19:20:00,2024-03-03 03:20:00,0.62,4.96,8,54.17,45.83,0,38.15,-112.61,"Beaver"
"I-15 @ BEER CREEK",2024-03-02 14:50:00,2024-03-03 14:40:00,0.2,4.78,23.83,15.97,72.22,11.81,40.073,-111.715,"Utah"
"I-15 @ BLACK RIDGE",NA,NA,0,0,0,100,0,0,37.482,-113.22,"Iron/Washington"
"I-15 @ BLUFFDALE",2024-03-02 14:10:00,2024-03-03 08:40:00,0.26,4.86,18.5,18.75,80.36,0.89,40.475,-111.905,"Salt Lake"
"I-15 @ CENTERVILLE",NA,NA,0,0,0,100,0,0,40.95,-111.892,"Davis"
"I-15 @ DOG VALLEY",NA,NA,0,0,0,100,0,0,38.636,-112.61,"Millard"
"I-15 @ MP 140 BAKER CANYON",2024-03-02 17:00:00,2024-03-03 02:10:00,0.6,5.52,9.17,9.91,68.47,21.62,38.682,-112.597,"Millard"
"I-15 @ MP 169",NA,NA,0,0,0,100,0,0,39.02,-112.305,"Millard"
"I-15 @ MP 215 LAMPSON CANYON",NA,NA,0,0,0,100,0,0,39.5944,-111.9161,"Juab"
"I-15 @ MP 241 ROCKY RIDGE",2024-03-02 15:00:00,2024-03-03 18:30:00,0.34,9.25,27.5,10.84,67.47,21.69,39.9371,-111.8112,"Juab"
"I-15 @ MP 29 BROWSE",NA,NA,0,0,0,100,0,0,37.3087,-113.297,"Washington"
"I-15 @ MP 333 ANTELOPE DRIVE",2024-03-02 13:30:00,2024-03-03 16:30:00,0.27,7.3,27,11.66,84.05,4.29,41.09,-111.9906,"Davis"
"I-15 @ MP 350 FARR WEST",2024-03-02 13:00:00,2024-03-03 15:40:00,0.394375,6.31,16,8.135625,83.710625,8.15375,41.3204,-112.0267,"Box Elder"
"I-15 @ MP 369 NORTH BRIGHAM CITY",2024-03-02 12:30:00,2024-03-02 17:20:00,0.41,1.98,4.83,53.33,46.67,0,41.58227,-112.07223,"Box Elder"
"I-15 @ MP 37 ASH CREEK",NA,NA,0,0,0,100,0,0,37.4116,-113.2348,"Washington"
"I-15 @ MP 398 PORTAGE",2024-03-03 03:20:00,2024-03-03 12:20:00,0.41,3.68,9,20.37,59.26,20.37,41.9675,-112.1808,"Box Elder"
"I-15 @ MP 57 CEDAR CITY",2024-03-02 21:00:00,2024-03-03 01:30:00,0.8,3.58,4.5,3.57,96.43,0,37.655,-113.0829,"Iron"
"I-15 @ OREM",2024-03-02 15:10:00,2024-03-03 19:40:00,0.09,2.63,28.5,9.3,88.95,1.74,40.319,-111.726,"Utah"
"I-15 @ PARAGONAH",2024-03-02 21:10:00,2024-03-03 03:40:00,0.6,3.9,6.5,32.5,60,7.5,37.929,-112.766,"Iron"
"I-15 @ PINE CREEK HILL",2024-03-02 17:30:00,2024-03-03 04:20:00,0.56,6.07,10.83,6.06,77.27,16.67,38.481,-112.617,"Beaver"
"I-15 @ PLYMOUTH",NA,NA,0,0,0,100,0,0,41.886,-112.169,"Box Elder"
"I-15 @ PROVO",2024-03-02 15:00:00,2024-03-02 18:40:00,0.29,1.06,3.67,4.35,73.91,21.74,40.204,-111.656,"Utah"
"I-15 @ SCIPIO SUMMIT",NA,NA,0,0,0,100,0,0,39.203,-112.173,"Millard"
"I-15 @ SEVIER RIVER",NA,NA,0,0,0,100,0,0,39.41,-112.052,"Juab"
"I-15 @ TREMONTON",2024-03-03 03:00:00,2024-03-03 09:50:00,0.3,2.04,6.83,21.43,45.24,33.33,41.69,-112.163,"Box Elder"
"I-15 @ WILDCAT RIDGE",2024-03-02 18:30:00,2024-03-03 01:10:00,0.4,2.66,6.67,2.5,52.5,45,38.421,-112.649,"Beaver"
"I-15 @ WILLARD POE",NA,NA,0,0,0,100,0,0,41.44,-112.056,"Box Elder"
"I-215 @ I-80",2024-03-02 13:20:00,2024-03-03 09:30:00,0.31,6.25,20.17,6.56,85.25,8.2,40.766,-111.95,"Salt Lake"
"I-215 @ MP 13.5 REDWOOD RD",2024-03-02 13:30:00,2024-03-03 09:10:00,0.19,3.71,19.67,NA,NA,NA,40.64439,-111.93843,"Salt Lake"
"I-215 @ MP 16 TAYLORSVILLE",2024-03-02 13:30:00,2024-03-03 09:20:00,0.22,4.27,19.83,10.83,75.83,13.33,40.6768,-111.9528,"Salt Lake"
"I-215 @ OLYMPUS COVE",2024-03-02 13:00:00,2024-03-03 09:20:00,0.42,8.59,20.33,10.57,66.67,22.76,40.683,-111.797,"Salt Lake"
"I-70 @ FISH CREEK",2024-03-02 17:20:00,2024-03-03 01:40:00,0.93,7.77,8.33,7.84,70.59,21.57,38.564,-112.434,"Sevier"
"I-70 @ FREMONT JCT",2024-03-02 18:20:00,2024-03-02 22:50:00,0.42,1.89,4.5,10.71,82.14,7.14,38.779,-111.317,"Sevier"
"I-70 @ HARLEY DOME",2024-03-03 03:10:00,2024-03-03 08:10:00,0.46,2.29,5,9.68,67.74,22.58,39.1664,-109.1359,"Grand"
"I-70 @ I-15",NA,NA,0,0,0,100,0,0,38.577,-112.604,"Millard"
"I-70 @ MP 82 SALINA SUMMIT",2024-03-02 17:00:00,2024-03-03 02:50:00,1.02,10.05,9.83,3.33,80,16.67,38.78319,-111.49338,"Sevier"
"I-70 @ RATTLESNAKE BENCH",2024-03-02 19:20:00,2024-03-03 09:00:00,0.42,5.76,13.67,3.61,80.72,15.66,38.904,-110.562,"Emery"
"I-70 @ RICHFIELD",NA,NA,0,0,0,100,0,0,38.773,-112.099,"Sevier"
"I-70 @ SALINA CANYON",2024-03-02 17:50:00,2024-03-03 02:30:00,0.76,6.59,8.67,0,64.15,35.85,38.9057,-111.6399,"Sevier"
"I-70 @ SR-24",NA,NA,0,0,0,100,0,0,38.876,-111.959,"Sevier"
"I-80 @ COALVILLE",2024-03-02 12:50:00,2024-03-03 19:20:00,0.38,11.47,30.5,13.66,68.85,17.49,40.918,-111.407,"Summit"
