"ZIP5","AverageIndex","StormEventIndex","StormEventDurationHours","exceptional","acceptable","unacceptable"
"84003",0.09,2.63,28.5,9.3,88.95,1.74
"84005",0.16,2.86,18,14.68,82.57,2.75
"84006",0.33,6.62,19.915,5.435,71.505,23.06
"84009",0.19,3.555,18.75,9.785,73.49,16.725
"84014",0,0,0,100,0,0
"84015",0.46753937007874,8.22046666666667,21.4433333333333,9.62622047244095,79.1823326771653,11.1914468503937
"84017",0.263333333333333,7.16333333333333,18.2766666666667,43.4033333333333,49.8466666666667,6.75
"84018",0,0,0,100,0,0
"84020",0.27,5.005,18.415,17.935,81.17,0.895
"84021",0.34,4.225,10.1675,41.99,53.605,4.4075
"84022",0.41,9.7,23.17,4.28,82.11,13.615
"84023",0.973333333333333,27.9866666666667,29.0566666666667,14.86,50.98,34.1533333333333
"84024",0.426666666666667,12.6433333333333,29.72,13.4333333333333,75.4366666666667,11.13
"84025",0.16,3.155,9.75,51.28,43.59,5.13
"84027",0.38,4.98,13.17,22.5,72.5,5
"84028",0,0,0,100,0,0
"84029",0.402681099184199,6.13472,14.534,15.2785813997424,69.7805431172177,14.9401455560326
"84032",0.08,1.87333333333333,5.18444444444444,80.21,17.2788888888889,2.51111111111111
"84033",0,0,0,100,0,0
"84035",1.04,26.9,25.83,9.03,54.84,36.13
"84036",0.116666666666667,2.85333333333333,8.11,68.0366666666667,24.43,7.53333333333333
"84037",0.32,6.31,19.5,2.56,87.18,10.26
"84038",0,0,0,100,0,0
"84040",0.35,10.04,28.5,8.14,77.91,13.95
"84041",0.295,6.805,23.25,7.11,85.615,7.275
"84042",0.115,3.29,28.665,15.855,82.405,1.73
"84043",0.233333333333333,4.29,18.2766666666667,16.85,81.6366666666667,1.51333333333333
"84044",0.30625,5.29625,17.46,13.405,72.13125,14.46125
"84045",0.16,2.86,18,14.68,82.57,2.75
"84046",0.76,24.4,32.17,15.1,45.83,39.06
"84047",0.12,2.36,19.17,6.96,85.22,7.83
"84049",0.0925,2.075,5.5825,79.445,20.555,0
"84050",0.233333333333333,6.85666666666667,14.6116666666667,53.62,38.195,8.18166666666667
"84052",0.6,4.22,7,32.56,60.47,6.98
"84055",0,0,0,100,0,0
"84056",0.31,8.355,27.085,8.88,82.27,8.85
"84057",0.09,2.63,28.5,9.3,88.95,1.74
"84058",0.09,2.63,28.5,9.3,88.95,1.74
"84059",0.09,2.63,28.5,9.3,88.95,1.74
"84060",0,0,0,100,0,0
"84061",0.205,5.01,12.165,58.275,40.345,1.38
"84062",0.14,3.95,28.83,22.41,75.86,1.72
"84064",0,0,0,100,0,0
"84065",0.236666666666667,4.37666666666667,18.3333333333333,16.2,77.75,6.05
"84066",0.6,4.22,7,32.56,60.47,6.98
"84067",0.35,9.41,27.17,6.1,80.49,13.41
"84071",0.51,12.09,23.67,18.18,78.32,3.5
"84074",0.343790588235294,5.68872,16.002,15.2129317647059,73.9411270588235,10.8459411764706
"84075",0.78261811023622,7.9514,10.16,11.1186614173228,73.0069980314961,15.8743405511811
"84078",0.756666666666667,17.81,20.8333333333333,15.1866666666667,50.2233333333333,34.5866666666667
"84081",0.33,6.62,19.915,5.435,71.505,23.06
"84082",0.123333333333333,2.76666666666667,7.44333333333333,72.5933333333333,27.4066666666667,0
"84083",0,0,0,100,0,0
"84084",0.12,2.36,19.17,6.96,85.22,7.83
"84086",0.54,15.96,29.33,19.21,72.32,8.47
"84088",0.165,3.175,19.25,6.9,80.645,12.46
"84092",0.713333333333333,15.9733333333333,21.9433333333333,9.47333333333333,77.79,12.7366666666667
"84095",0.17,3.12,18.17,12.73,70.91,16.36
"84096",0.17,3.12,18.17,12.73,70.91,16.36
"84097",0.18,5.20333333333333,28.8866666666667,20.9266666666667,76.4066666666667,2.66
"84098",0.111666666666667,2.73666666666667,4.11166666666667,85.0166666666667,13.53,1.45166666666667
"84101",0.223333333333333,4.42666666666667,19.78,7.55333333333333,77.8533333333333,14.5966666666667
"84102",0.265,5.805,21.5,4.945,65.58,29.475
"84103",0.265,5.805,21.5,4.945,65.58,29.475
"84104",0.214,4.29,20.202,6.828,78.674,14.5
"84105",0.2375,4.94,20.5,5.2275,72.8325,21.94
"84106",0.2725,5.4675,19.915,7.0375,78.635,14.3275
"84107",0.14,2.74,19.335,7.295,77.78,14.93
"84108",0.313,7.06,17.741,24.112,63.767,12.12
"84109",0.396666666666667,9.01444444444444,19.75,17.1444444444444,72.9711111111111,9.88333333333333
"84111",0.206666666666667,4.02,19.5566666666667,6.49666666666667,79.38,14.1233333333333
"84112",0.33,7.7,23.33,1.42,53.19,45.39
"84113",0.33,7.7,23.33,1.42,53.19,45.39
"84115",0.206666666666667,4.02,19.5566666666667,6.49666666666667,79.38,14.1233333333333
"84116",0.25375,4.16625,17.2525,13.8625,76.82625,9.31125
"84117",0.42,8.59,20.33,10.57,66.67,22.76
"84118",0.335,6.76,20.165,7.43,71.385,21.18
"84119",0.1775,3.51,20.125,7.31,76.6125,16.075
"84120",0.206666666666667,4.14666666666667,20.5,7.43666666666667,78.5466666666667,14.0133333333333
"84121",0.575,12.85,21.5,10.0916666666667,76.2533333333333,13.6566666666667
"84122",0.31,6.25,20.17,6.56,85.25,8.2
"84123",0.17,3.315,19.5,8.895,80.525,10.58
"84124",0.423333333333333,8.65666666666667,20.33,7.87666666666667,77.2033333333333,14.92
"84128",0.2,4.085,20.835,5.74,79.905,14.355
"84129",0.17,3.315,19.5,8.895,80.525,10.58
"84150",0.2,3.91,19.67,8.47,77.97,13.56
"84302",0.205,0.99,2.415,76.665,23.335,0
"84305",0.41,3.68,9,20.37,59.26,20.37
"84307",0.448748,4.03685,8.665,40.258092,49.298436,10.443472
"84310",0.126666666666667,3.78333333333333,9.83333333333333,69.49,25.8,4.70666666666667
"84312",0,0,0,100,0,0
"84315",0.78261811023622,7.9514,10.16,11.1186614173228,73.0069980314961,15.8743405511811
"84316",0.28,6.29,22.83,18.12,60.87,21.01
"84317",0.525,15.55,29.585,6.79,75.63,17.57
"84319",0.31,7.5,24,11.03,65.52,23.45
"84320",0.13,4.19,31.33,13.23,86.77,0
"84321",0.29,6.865,23.585,14.085,73.475,12.44
"84322",0.27,6.23,23.17,17.14,81.43,1.43
"84324",0.453456924754635,4.1582,9.17,8.75368593238822,80.6708287895311,10.5754852780807
"84328",0.294485641584878,4.9394,11.3333333333333,39.6078953107961,53.5136095965104,6.8818284260269
"84330",0.205,1.84,4.5,60.185,29.63,10.185
"84331",0.294374,4.015925,11.0825,41.419046,43.014218,15.566736
"84332",0.27,6.23,23.17,17.14,81.43,1.43
"84333",0.133333333333333,3.47333333333333,18.1666666666667,43.4566666666667,56.0666666666667,0.476666666666667
"84335",0.13,4.19,31.33,13.23,86.77,0
"84336",0.487496,6.0937,12.5,27.186184,51.926872,20.886944
"84337",0.3,2.04,6.83,21.43,45.24,33.33
"84339",0.37,9.08,24.415,10.55,72.695,16.76
"84340",0.131458333333333,2.10333333333333,5.33333333333333,69.3785416666667,27.9035416666667,2.71791666666667
"84341",0.27,6.23,23.17,17.14,81.43,1.43
"84401",0.51,14.58,28.42,5.605,77.175,17.215
"84403",0.35,9.725,27.835,7.12,79.2,13.68
"84404",0.394375,6.31,16,8.135625,83.710625,8.15375
"84405",0.35,9.725,27.835,7.12,79.2,13.68
