"ResponseId","Finished","Progress","StartDate","EndDate","RecordedDate","DurationSec","LOIYES","RESID","AGE18","ZIPCODE","ZONE","STORMDATE1","STORMDATE2","INCHES","INCHES_4CAT","COMP1","COMP2","COMP3","COMP4","TRAVEL","NOTRAVEL","NOTRAVEL_1","NOTRAVEL_2","NOTRAVEL_3","NOTRAVEL_4","NOTRAVEL_5","NOTRAVEL_5_TEXT","PURPOSE","PURPOSE_1","PURPOSE_2","PURPOSE_3","PURPOSE_4","PURPOSE_5","PURPOSE_6","PURPOSE_7","PURPOSE_8","PURPOSE_9","PURPOSE_10","PURPOSE_11","PURPOSE_12","PURPOSE_12_TEXT","MODE","MODE_1","MODE_2","MODE_3","MODE_4","MODE_5","MODE_6","MODE_7","MODE_8","MODE_9","MODE_9_TEXT","CHANGE","CHANGE_1","CHANGE_2","CHANGE_3","CHANGE_4","CHANGE_5","CHANGE_6","CHANGE_7","CHANGE_7_TEXT","SAT_TRANSPORT_1","SAT_TRANSPORT_2","SAT_TRANSPORT_3","SAT_TRANSPORT_4","SAT_TRANSPORT_5","SAT_TRANSPORT_6","SAT_GROUP_1","SAT_GROUP_2","SAT_GROUP_3","SAT_GROUP_4","SATISFACTION","LOC_BETTER","LOC_WORSE","HEAR","INFO","INFO_1","INFO_2","INFO_3","INFO_4","INFO_5","INFO_6","INFO_7","INFO_8","INFO_9","INFO_10","INFO_11","INFO_DETAIL_1","INFO_DETAIL_2","INFO_DETAIL_3","INFO_DETAIL_4","INFO_DETAIL_5","INFO_DETAIL_6","INFO_DETAIL_7","INFO_DETAIL_8","INFO_DETAIL_9","INFO_DETAIL_10","INFO_DETAIL_11","APP","APP_USES","APP_FEEDBACK","PRIORITY_TRANSPORT_1","PRIORITY_TRANSPORT_2","PRIORITY_TRANSPORT_3","PRIORITY_TRANSPORT_5","PRIORITY_TRANSPORT_6","PRIORITY_TRANSPORT_7","PRIORITY_PLACES_1","PRIORITY_PLACES_2","PRIORITY_PLACES_3","PRIORITY_PLACES_4","PRIORITY_PLACES_5","PRIORITY_PLACES_6","AGE","AGE_6CAT","AGE_5CAT","AGE_4CAT","GENDER","GENDER_2CAT","GENDER_5_TEXT","RACEETH","RACE_2CAT","RACEETH_9_TEXT","STUD","EDUC","EDUC_4CAT","EDUC_3CAT","WORK","HHINC","HHINC_9CAT","HHINC_6CAT","HHINC_3CAT","HOME1","HOME1_9_TEXT","HOME1_8CAT","HOME1_5CAT","HOME1_4CAT","HOME1_2CAT","HOME2","ADULTS","ADULTS_NUM","CHILDREN","CHILDREN_NUM","BIKES","BIKES_NUM","CARS","CARS_NUM","END","AverageIndex","StormEventIndex","StormEventDurationHours","exceptional","acceptable","unacceptable"
"R_1lTNgf34HcD4FKF",TRUE,100,2024-02-10 12:33:35,2024-02-10 12:39:29,2024-02-10 12:39:30,353,"Accept","Yes","Yes","84321","A",2024-02-08,2024-02-09,"4-6 inches","Heavy Snowfall","Somewhat less","Somewhat shorter","Much less","Somewhat better","Yes","",FALSE,FALSE,FALSE,FALSE,FALSE,"","Work",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","Car/Van/Truck/SUV Driver",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"","I canceled some of my planned activities / trips.,I traveled more slowly or cautiously than normal.",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"","3","5","4","3","4","2","3","4","5","5","Somewhat satisfied","Um probably public walkways","Some roads","A moderate amount","Alert",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","","","","I dont remeber","","","","","","No","","","2","1","3","5","4","6","1","3","6","2","5","4",28,"25-34","25-34","18-34","Male","Male","","White or Caucasian","White","","No","Bachelor's or associate degree","Bachelor","Bachelor","Yes","$50,000 to $74,999","50-75","50-75","50-100","Building with 2 apartments/condos (duplex)","","Apt2","Apt2-4","Apartment","Other","Rented","2",2,"0",0,"1",1,"2",2,"",0.31,3.755,12.165,27.415,64.62,7.97
"R_1e8G0DUltu0IO4x",TRUE,100,2024-02-10 18:57:36,2024-02-10 19:04:13,2024-02-10 19:04:14,397,"Accept","Yes","Yes","84302","A",2024-02-08,2024-02-09,"1 inch","Light Snowfall","Somewhat less","About the same","Much less","About the same","No","I had no reason to travel",TRUE,FALSE,FALSE,FALSE,FALSE,"","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","No changes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"2","2",NA,NA,NA,NA,"2",NA,"Neither satisfied nor dissatisfied","i'm not sure. this storm was warm and the accumulation melted on its own fairly quickly","na","A moderate amount","TV,Online",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"fox13","","","","","","accuweather","","","","","No","","","2","1","3","4","5","6","1","2","6","5","4","3",66,"65-84","65+","65+","Male","Male","","White or Caucasian","White","","No","High school diploma or equivalent (e.g. GED)","HighSch","HSBelow","No","$35,000 to $49,999","35-50","25-50","0-50","Single-family house, detached from any other house","","SFdet","SFdet","SFdet","SFdet","Owned or mortgaged","2",2,"0",0,"0",0,"1",1,"interesting and enjoyable. ",0.045,0.785,8.5,53.885,45.63,0.485
"R_1tc7sP86cnuRobv",TRUE,100,2024-02-10 19:10:07,2024-02-10 19:13:58,2024-02-10 19:13:59,231,"Accept","Yes","Yes","84332","A",2024-02-08,2024-02-09,"4-6 inches","Heavy Snowfall","About the same","Somewhat longer","About the same","Somewhat worse","Yes","",FALSE,FALSE,FALSE,FALSE,FALSE,"","Work- or school-related activities,Shopping (groceries, clothing, convenience store, etc),Civic or religious activities",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"","Car/Van/Truck/SUV Driver,Car/Van/Truck/SUV Passenger,Public bus or train (examples: UTA, TRAX, FrontRunner)",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"","I canceled some of my planned activities / trips.,I waited until after the storm to do some activities / trips.",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"","4","4","2","2","3",NA,"3","3","3","3","Somewhat satisfied","None. ","Roads and sidewalks. ","A little","Radio,App,Online",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"","Listening to the local news radio. ","","","Weather app.","","Google","","","","","No","","","3","1","4","2","5","6","2","1","3","6","4","5",21,"18-24","18-24","18-34","Female","Female","","White or Caucasian","White","","Yes","High school diploma or equivalent (e.g. GED)","HighSch","HSBelow","Yes","Less than $10,000","0-10","0-25","0-50","Single-family house, detached from any other house","","SFdet","SFdet","SFdet","SFdet","Rented","3",3,"0",0,"1",1,"1",1,"",0.35,4.19,11.83,16.67,80.56,2.78
"R_6lPNi4PMVvkFcbu",TRUE,100,2024-02-11 05:30:54,2024-02-11 05:40:10,2024-02-11 05:40:10,556,"Accept","Yes","Yes","84321","A",2024-02-08,2024-02-09,"1 foot or more","Extreme Snowfall","Somewhat more","Somewhat shorter","About the same","About the same","Yes","",FALSE,FALSE,FALSE,FALSE,FALSE,"","Service private vehicle (gas, oil, repairs, etc.),Shopping (groceries, clothing, convenience store, etc),Civic or religious activities,Other errands or appointments (bank, professional office, doctor/dentist, etc.)",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"","Car/Van/Truck/SUV Driver",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"","No changes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","5","5","3","3","5","3","3","5","5","5","Extremely satisfied","Main roads are always taken care of first","Distant neighborhood roads and culdesacs","A little","TV,Online",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"KSL","","","","","","Weather.com","","","","","Yes, a little","Had to travel through Sardine Canyon and wanted to know how much time to give myself for travel","A great help to check canyon road travel","2","1","3","5","4","6","1","2","5","3","6","4",65,"65-84","65+","65+","Female","Female","","White or Caucasian","White","","No","High school diploma or equivalent (e.g. GED)","HighSch","HSBelow","Yes","$50,000 to $74,999","50-75","50-75","50-100","Single-family house, detached from any other house","","SFdet","SFdet","SFdet","SFdet","Owned or mortgaged","1",1,"0",0,"1",1,"1",1,"",0.31,3.755,12.165,27.415,64.62,7.97
"R_1BtVFxVIH9O4TFn",TRUE,100,2024-02-11 08:10:21,2024-02-11 08:17:39,2024-02-11 08:17:40,438,"Accept","Yes","Yes","84337","A",2024-02-08,2024-02-09,"Less than 1 inch","Light Snowfall","Much less","Much shorter","Much less","About the same","Yes","",FALSE,FALSE,FALSE,FALSE,FALSE,"","Shopping (groceries, clothing, convenience store, etc),Drop off or pick up passenger(s)",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"","Car/Van/Truck/SUV Driver",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"","No changes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","4","4","4","4","4","2","4","4","5","5","Neither satisfied nor dissatisfied","We had no snow. It melted. ","We had no snow. It melted. ","A moderate amount","TV,App,Online",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Ksl ","","","","Ksl weather app","","I don't remember ","","","","","No","","","2","1","4","3","5","6","1","2","5","3","6","4",50,"45-64","45-64","50-64","Female","Female","",NA,"Non-White","","No","Bachelor's or associate degree","Bachelor","Bachelor","No","$10,000 to $14,999","10-15","0-25","0-50","Building with 5 to 9 apartments/condos","","Apt5-9","Apt5+","Apartment","Other","Rented","1",1,"0",0,"0",0,"1",1,"",0,0,0,100,0,0
"R_3O199D0F2qlMHjD",TRUE,100,2024-02-11 10:59:01,2024-02-11 11:06:12,2024-02-11 11:06:14,430,"Accept","Yes","Yes","84302","A",2024-02-08,2024-02-09,"1 foot or more","Extreme Snowfall","Much more","Somewhat shorter","Much more","About the same","Yes","",FALSE,FALSE,FALSE,FALSE,FALSE,"","Social or entertainment activities (friends/relatives, movie, etc.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"","Car/Van/Truck/SUV Driver",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"","I waited until after the storm to do some activities / trips.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"","5","5","5","5",NA,"5",NA,NA,NA,"5","Extremely satisfied","I 15 going north","None","A moderate amount","TV,App",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"KSL NBC","","","","KSL weather app","","","","","","","No","","","1","2","3","5","4","6","3","4","5","2","1","6",67,"65-84","65+","65+","Female","Female","","White or Caucasian","White","","No","Bachelor's or associate degree","Bachelor","Bachelor","No","$35,000 to $49,999","35-50","25-50","0-50","Single-family house, detached from any other house","","SFdet","SFdet","SFdet","SFdet","Rented","1",1,"0",0,"0",0,"3",3,"",0.045,0.785,8.5,53.885,45.63,0.485
"R_1CeU8pfK6u2DAPF",TRUE,100,2024-02-11 12:23:11,2024-02-11 12:30:21,2024-02-11 12:30:21,429,"Accept","Yes","Yes","84321","A",2024-02-08,2024-02-09,"4-6 inches","Heavy Snowfall","Much more","Much shorter","Somewhat more","About the same","No","The roads, streets, and sidewalks were not in good condition.",FALSE,FALSE,TRUE,FALSE,FALSE,"","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","I canceled some of my planned activities / trips.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"","3","3","1","1","2","2","1","2","2","2","Extremely dissatisfied","Need more people to clean the roads quicker. ","Our apartment parking lot. ","A little","App",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","","","Weather Bug","","","","","","","No","","","5","6","1","3","2","4","4","2","5","3","1","6",39,"35-44","35-44","35-49","Female","Female","","Hispanic or Latino/a/x","Non-White","","No","Bachelor's or associate degree","Bachelor","Bachelor","No","$50,000 to $74,999","50-75","50-75","50-100","Building with 20 or more apartments/condos","","Apt20+","Apt5+","Apartment","Other","Rented","2",2,"2",2,"2",2,"2",2,"",0.31,3.755,12.165,27.415,64.62,7.97
"R_7sYM1Puwytj08gU",TRUE,100,2024-02-11 14:35:04,2024-02-11 14:43:40,2024-02-11 14:43:40,515,"Accept","Yes","Yes","84330","A",2024-02-08,2024-02-09,"3 inches","Moderate Snowfall","Somewhat less","Somewhat shorter","Somewhat less","About the same","Yes","",FALSE,FALSE,FALSE,FALSE,FALSE,"","Shopping (groceries, clothing, convenience store, etc)",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","Car/Van/Truck/SUV Driver",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"","No changes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","4","4","2","3",NA,NA,NA,NA,"4","3","Somewhat satisfied","Highway 13 was cleared, which was kind of surprising ","Highway 30 around Beaver Dam","A moderate amount","TV,App",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"KSL, Fox13","","","","Apple phone weather ","","","","","","","Yes, a little","Looking on 1-84 for road conditions and cameras","It’s a pretty good app","2","1","3","5","4","6","1","2","6","4","5","3",57,"45-64","45-64","50-64","Female","Female","","White or Caucasian","White","","No","Master's degree, doctorate degree, or professional degree beyond bachelor's degree","Higher","Higher","No","$75,000 to $99,999","75-100","75-100","50-100","Single-family house, detached from any other house","","SFdet","SFdet","SFdet","SFdet","Owned or mortgaged","2",2,"0",0,"0",0,"1",1,"",0.233624725676664,2.99005,12.585,33.3156803218727,66.6843196781273,0
"R_57DxUqFPRQuTozT",TRUE,100,2024-02-12 06:50:25,2024-02-12 06:55:56,2024-02-12 06:55:57,330,"Accept","Yes","Yes","84321","A",2024-02-08,2024-02-09,"2 inches","Moderate Snowfall","About the same","About the same","About the same","Somewhat better","Yes","",FALSE,FALSE,FALSE,FALSE,FALSE,"","Work",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","Car/Van/Truck/SUV Driver",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"","No changes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",NA,NA,"4","5","5","4","3","5","5","4","Extremely satisfied","Main roads","less traveled areas","A moderate amount","TV",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"KSL","","","","","","","","","","","Yes, a little","Canyon roads","love it","2","1","4","5","3","6","1","2","6","3","4","5",65,"65-84","65+","65+","Female","Female","","White or Caucasian","White","","No","High school diploma or equivalent (e.g. GED)","HighSch","HSBelow","Yes","$35,000 to $49,999","35-50","25-50","0-50","Single-family house, detached from any other house","","SFdet","SFdet","SFdet","SFdet","Owned or mortgaged","1",1,"0",0,"1",1,"1",1,"",0.31,3.755,12.165,27.415,64.62,7.97
"R_5rZGArkaGRgdDIw",TRUE,100,2024-02-12 17:14:03,2024-02-12 17:26:37,2024-02-12 17:26:37,753,"Accept","Yes","Yes","84321","A",2024-02-08,2024-02-09,"3 inches","Moderate Snowfall","About the same","Somewhat shorter","About the same","Somewhat better","Yes","",FALSE,FALSE,FALSE,FALSE,FALSE,"","Other errands or appointments (bank, professional office, doctor/dentist, etc.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"","Car/Van/Truck/SUV Driver",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"","I did more activities / made more trips before the storm arrived.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","3","3","4","2","3","3","2","2","4",NA,"Neither satisfied nor dissatisfied","My parking lot","Bus stops","A moderate amount","Word-of-mouth",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"","","","","","","","","","Parent ","","No","","","3","1","5","2","6","4","4","1","3","5","2","6",18,"18-24","18-24","18-34","Female","Female","","White or Caucasian","White","","Yes","High school diploma or equivalent (e.g. GED)","HighSch","HSBelow","Yes",NA,NA,NA,NA,"Single-family house, detached from any other house","","SFdet","SFdet","SFdet","SFdet","Owned or mortgaged","2",2,"1",1,"2",2,"3",3,"",0.31,3.755,12.165,27.415,64.62,7.97
